serial	tag_date	fpc	domain	datetime	channel	tag	tag_freq	origin	orgin_desc	created_at	updated_at
NULL	2021-12-17	7cdd94a12eba006c9bdd64ca817f7f5a-_KX8JW50ASPTHX	NULL	2021-12-16 13:57:41	web	安心防護方案	1	API	NULL	2021-12-17 20:21:47	2021-12-17 20:21:47
NULL	2021-12-17	7cdd94a12eba006c9bdd64ca817f7f5a-_KX8JW50ASPTHX	NULL	2021-12-16 13:57:34	web	普通重機基本+駕駛傷害	1	API	NULL	2021-12-17 20:21:47	2021-12-17 20:21:47
NULL	2021-12-17	7cdd94a12eba006c9bdd64ca817f7f5a-_KX8JW50ASPTHX	NULL	2021-12-16 13:57:34	web	機車險	1	API	NULL	2021-12-17 20:21:47	2021-12-17 20:21:47
NULL	2021-12-17	7cdd94a12eba006c9bdd64ca817f7f5a-_KX8JW50ASPTHX	NULL	2021-12-16 13:58:26	web	租屋放心方案	1	API	NULL	2021-12-17 20:21:47	2021-12-17 20:21:47
NULL	2021-12-17	8544941d3ec4dd0e4368ca7826b45cdf-_KX8O9S6XX7UXU	NULL	2021-12-16 16:00:08	web	優惠折扣Banner	2	API	NULL	2021-12-17 20:21:47	2021-12-17 20:21:47
NULL	2021-12-17	8e97b6390601f1d14af461131f58da7d-_KQ3V0P3BS6U1N	NULL	2021-12-16 16:54:39	web	保單服務	1	API	NULL	2021-12-17 20:21:47	2021-12-17 20:21:47
NULL	2021-12-17	8e97b6390601f1d14af461131f58da7d-_KQ3V0P3BS6U1N	NULL	2021-12-16 16:54:39	web	保單查詢	1	API	NULL	2021-12-17 20:21:47	2021-12-17 20:21:47
NULL	2021-12-17	8e97b6390601f1d14af461131f58da7d-_KQ3V0P3BS6U1N	NULL	2021-12-16 16:55:36	web	強制證下載	1	API	NULL	2021-12-17 20:21:47	2021-12-17 20:21:47
NULL	2021-12-17	8e97b6390601f1d14af461131f58da7d-_KQ3V0P3BS6U1N	NULL	2021-12-16 16:55:36	web	查詢	1	API	NULL	2021-12-17 20:21:47	2021-12-17 20:21:47
NULL	2021-12-17	8e97b6390601f1d14af461131f58da7d-_KQ3V0P3BS6U1N	NULL	2021-12-16 09:50:32	web	汽車	1	API	NULL	2021-12-17 20:21:47	2021-12-17 20:21:47
NULL	2021-12-17	8e97b6390601f1d14af461131f58da7d-_KQ3V0P3BS6U1N	NULL	2021-12-16 16:47:31	web	汽車險	2	API	NULL	2021-12-17 20:21:47	2021-12-17 20:21:47
NULL	2021-12-17	8e97b6390601f1d14af461131f58da7d-_KQ3V0P3BS6U1N	NULL	2021-12-16 09:50:27	web	續保登入	1	API	NULL	2021-12-17 20:21:47	2021-12-17 20:21:47
NULL	2021-12-17	8e97b6390601f1d14af461131f58da7d-_KQ3V0P3BS6U1N	NULL	2021-12-16 16:47:31	web	試算	3	API	NULL	2021-12-17 20:21:47	2021-12-17 20:21:47
NULL	2021-12-17	ac6c8efd10e6f6fc79e56e1c089f1f47-_KIIMCQWGFE36P	NULL	2021-12-16 11:26:56	web	新安保戶	1	API	NULL	2021-12-17 20:21:47	2021-12-17 20:21:47
NULL	2021-12-17	ac6c8efd10e6f6fc79e56e1c089f1f47-_KIIMCQWGFE36P	NULL	2021-12-16 11:17:27	web	汽車	2	API	NULL	2021-12-17 20:21:47	2021-12-17 20:21:47
NULL	2021-12-17	ac6c8efd10e6f6fc79e56e1c089f1f47-_KIIMCQWGFE36P	NULL	2021-12-16 11:26:56	web	汽車險	1	API	NULL	2021-12-17 20:21:47	2021-12-17 20:21:47
NULL	2021-12-17	ac6c8efd10e6f6fc79e56e1c089f1f47-_KIIMCQWGFE36P	NULL	2021-12-16 11:17:26	web	試算	2	API	NULL	2021-12-17 20:21:47	2021-12-17 20:21:47
NULL	2021-12-17	accutracker_000000-_KHWLTH17OXXQH	NULL	2021-12-16 15:02:37	web	汽車險	2	API	NULL	2021-12-17 20:21:47	2021-12-17 20:21:47
NULL	2021-12-17	accutracker_000000-_KHWLTH17OXXQH	NULL	2021-12-16 15:02:37	web	試算	2	API	NULL	2021-12-17 20:21:47	2021-12-17 20:21:47
NULL	2021-12-17	b758acda903aa4db1053c2979976d0fd-_KP1X910F22G4S	NULL	2021-12-16 14:49:21	web	會員專區	1	API	NULL	2021-12-17 20:21:47	2021-12-17 20:21:47
NULL	2021-12-17	bf36df4807818e11764be7d20a2790e1-_KHQ0DEI54KWRV	NULL	2021-12-16 08:52:33	web	國內	2	API	NULL	2021-12-17 20:21:47	2021-12-17 20:21:47
NULL	2021-12-17	bf36df4807818e11764be7d20a2790e1-_KHQ0DEI54KWRV	NULL	2021-12-16 08:52:37	web	國內+租車	1	API	NULL	2021-12-17 20:21:47	2021-12-17 20:21:47
NULL	2021-12-17	bf36df4807818e11764be7d20a2790e1-_KHQ0DEI54KWRV	NULL	2021-12-16 08:57:38	web	旅平險-商品特色	1	API	NULL	2021-12-17 20:21:47	2021-12-17 20:21:47
NULL	2021-12-17	bf36df4807818e11764be7d20a2790e1-_KHQ0DEI54KWRV	NULL	2021-12-16 08:52:33	web	旅平險-國內-右方	1	API	NULL	2021-12-17 20:21:47	2021-12-17 20:21:47
NULL	2021-12-17	bf36df4807818e11764be7d20a2790e1-_KHQ0DEI54KWRV	NULL	2021-12-16 08:52:02	web	旅平險-國內-方案選擇	1	API	NULL	2021-12-17 20:21:47	2021-12-17 20:21:47
NULL	2021-12-17	bf36df4807818e11764be7d20a2790e1-_KHQ0DEI54KWRV	NULL	2021-12-16 08:52:37	web	旅平險-國內+租車-右方	1	API	NULL	2021-12-17 20:21:47	2021-12-17 20:21:47
NULL	2021-12-17	bf36df4807818e11764be7d20a2790e1-_KHQ0DEI54KWRV	NULL	2021-12-16 08:57:36	web	旅平險-熱門問題	1	API	NULL	2021-12-17 20:21:47	2021-12-17 20:21:47
